xi,f,Manning,Recking,Keulegan,Ferguson
8.161078423498031142e+00,9.601909221919810444e-02,7.304982572664985019e-02,8.067403535551698202e-02,9.477135762120210416e-02,9.337428313691058246e-02
9.059232448307305674e+00,8.999326032073218240e-02,7.055122628532653484e-02,7.888773708535166962e-02,8.962026538265877029e-02,8.814876212820213497e-02
1.005623133287903315e+01,8.462132079855816391e-02,6.813808904882136253e-02,7.716011736932480714e-02,8.487800286835908703e-02,8.348902739284318197e-02
1.116295328521717423e+01,7.980076785956925767e-02,6.580749086413448246e-02,7.548863400720640104e-02,8.050242372011905123e-02,7.930264372468454059e-02
1.239147369656475384e+01,7.545149596002791170e-02,6.355660856191935881e-02,7.387088099571927080e-02,7.645667594350798180e-02,7.551411525033285832e-02
1.375519689543061297e+01,7.150709617394072903e-02,6.138271553663753738e-02,7.230457986543457893e-02,7.270842342188990615e-02,7.206170939418425625e-02
1.526900240158817113e+01,6.791220518452503740e-02,5.928317844368594797e-02,7.078757165379283289e-02,6.922919777688557597e-02,6.889487883370924715e-02
1.694940727581688478e+01,6.461927262167400932e-02,5.725545400949573482e-02,6.931780946142189481e-02,6.599385621656468637e-02,6.597216876905928618e-02
1.881474633677661146e+01,6.160574611175787668e-02,5.529708595073869887e-02,6.756204487226395716e-02,6.298012601664312871e-02,6.325951806483980089e-02
2.088537221135290878e+01,5.882081948017721384e-02,5.340570199890926767e-02,6.315977727186856960e-02,6.016822016728599204e-02,6.072888005407008766e-02
2.318387740121311325e+01,5.624399120808379338e-02,5.157901102667777904e-02,5.917416976251748534e-02,5.754051175690772651e-02,5.835710277904295612e-02
2.573534078853087692e+01,5.385097700165725199e-02,4.981480027253425841e-02,5.579288445274208780e-02,5.508125705399953553e-02,5.612501979301957877e-02
2.856760127049178166e+01,5.161908711012914985e-02,4.811093266036035182e-02,5.344036817368540832e-02,5.277635913784222560e-02,5.401671185711013484e-02
3.171156150819292208e+01,4.952561966928405862e-02,4.646534421068298365e-02,5.123356594558071270e-02,5.061316543161881176e-02,5.201890734137291222e-02
3.520152510412689395e+01,4.754653482800662301e-02,4.487604154047341448e-02,4.916068763298777483e-02,4.858029369241732842e-02,5.012049520521594248e-02
3.907557088717728533e+01,4.579208455767478508e-02,4.334109944846342710e-02,4.721111188547477688e-02,4.666748197722504071e-02,4.831212935507654682e-02
4.337596838893237816e+01,4.407865413437991875e-02,4.185865858305336945e-02,4.537524980751313913e-02,4.486545888243997915e-02,4.658590717251235441e-02
4.814963904455891708e+01,4.245940925729944221e-02,4.042692318998718920e-02,4.364442682624841696e-02,4.316583098544689995e-02,4.493510824810481585e-02
5.344866815037750030e+01,4.091946795562382416e-02,3.904415893706616320e-02,4.201078003303337222e-02,4.156098493055366411e-02,4.335398198783421697e-02
5.933087316408457212e+01,3.944180390711020390e-02,3.770869081326607558e-02,4.046716872492651940e-02,4.004400202159716371e-02,4.183757489398373663e-02
6.586043454831772692e+01,3.800714109101943627e-02,3.641890109971322731e-02,3.900709624145907300e-02,3.860858352828071965e-02,4.038159005561576392e-02
7.310859604066919815e+01,3.659442070821201237e-02,3.517322741006122938e-02,3.762464149568137128e-02,3.724898519736875163e-02,3.898227279007233925e-02
8.115444199076085852e+01,3.518169255773901521e-02,3.397016079789468013e-02,3.631439884933848616e-02,3.595995969478889970e-02,3.763631751832792471e-02
9.008576024586848519e+01,3.374724094434079086e-02,3.280824392886760171e-02,3.507142518994425806e-02,3.473670589966788153e-02,3.634079188331504340e-02
1.000000000000000000e+02,3.227080658158685417e-02,3.168606931536183113e-02,3.389119324046505066e-02,3.357482413370175417e-02,3.509307487208172122e-02
