,xi,xi_z,(8/f)^0.5,f
426,5.36,26.8,10.49,0.07270076999203018
427,6.08,30.4,10.79,0.06871429540790955
428,6.72,33.6,10.897,0.06737147957596963
429,7.2,36.0,11.15,0.06434877033521687
430,8.08,40.4,11.422,0.06132049829895404
431,8.72,43.6,11.421,0.06133123697032246
432,9.36,46.8,11.558,0.05988590357992242
433,2.385,39.742,7.313,0.1495887179740138
434,2.729,45.477,8.152,0.12038202513384075
435,2.986,49.761,7.244,0.15245199210542604
436,3.204,53.403,8.607,0.10799070615784201
437,3.852,64.203,10.034,0.0794587618759562
438,4.955,82.575,11.063,0.0653648339432131
439,6.145,102.413,12.812,0.04873670085091356
440,6.902,115.035,11.905,0.0564457421477358
441,1.22,5.128,4.26,0.4408296413850868
442,0.556,1.235,1.202,5.537083230666582
443,0.476,1.058,0.98,8.329862557267806
444,0.46,1.023,0.893,10.031989506538975
445,0.421,0.935,0.731,14.971152460602477
446,0.317,0.705,0.779,13.183024878015821
447,0.302,0.67,0.72,15.4320987654321
448,0.317,0.705,0.67,17.821341055914456
449,0.468,1.041,1.014,7.780617703239459
450,1.016,2.257,2.065,1.8760736124383681
451,0.532,1.182,1.373,4.243741409739068
452,0.976,2.169,1.902,2.2114084349751937
453,0.667,1.481,1.786,2.507997376634744
454,0.635,1.411,1.708,2.742295520734497
455,0.7,1.059,2.242,1.5915444426849037
456,0.685,1.036,2.125,1.7716262975778547
457,0.631,0.954,1.575,3.2249937011841774
458,0.6,0.908,1.558,3.2957562195039554
459,0.546,0.826,1.434,3.8903769580753536
460,0.346,0.524,1.163,5.914670526974963
461,0.354,0.535,1.15,6.049149338374292
462,0.331,0.5,1.19,5.649318550949792
463,0.4,0.605,1.256,5.071199642987545
464,1.115,1.687,3.017,0.8788998020168335
465,0.823,1.245,2.295,1.5188839999810142
466,1.062,1.606,2.799,1.021137416887392
467,0.862,1.303,2.307,1.5031239613178566
468,0.762,1.152,2.116,1.7867288924782287
469,0.478,1.36,1.375,4.231404958677686
470,0.421,1.198,1.444,3.8366801973588296
471,0.4,1.138,1.353,4.370130377377146
472,0.384,1.094,1.095,6.672087737953754
473,0.26,0.739,0.933,9.190236751986527
474,0.265,0.754,0.752,14.146672702580354
