xi,xi_z,(8/f)^0.5
3.204,53.403,8.607
3.852,64.203,10.034
4.955,82.575,11.063
6.145,102.413,12.812
6.902,115.035,11.905
1.220,5.128,4.260
0.556,1.235,1.202
0.476,1.058,0.980
0.460,1.023,0.893
0.421,0.935,0.731
0.317,0.705,0.779
0.302,0.670,0.720
0.317,0.705,0.670
0.468,1.041,1.014
1.016,2.257,2.065
0.532,1.182,1.373
0.976,2.169,1.902
0.667,1.481,1.786
0.635,1.411,1.708
0.700,1.059,2.242
0.685,1.036,2.125
0.631,0.954,1.575
0.600,0.908,1.558
0.546,0.826,1.434
0.346,0.524,1.163
0.354,0.535,1.150
0.331,0.500,1.190
0.400,0.605,1.256
1.115,1.687,3.017
0.823,1.245,2.295
1.062,1.606,2.799
0.862,1.303,2.307
0.762,1.152,2.116
0.478,1.360,1.375
0.421,1.198,1.444
0.400,1.138,1.353
0.384,1.094,1.095
0.260,0.739,0.933
0.265,0.754,0.752
0.540,1.538,1.857
0.987,2.809,2.611
0.488,1.390,1.671
0.740,1.217,1.849
0.730,1.201,1.554
0.690,1.135,1.273
0.690,1.135,1.207
0.400,0.658,1.414
0.410,0.674,1.171
0.570,0.938,1.963
0.800,1.316,3.131
0.690,1.135,2.697
0.737,1.707,2.048
0.671,1.553,1.577
0.643,1.489,1.683
0.620,1.435,1.418
0.569,1.317,1.282
0.420,0.972,1.202
0.435,1.008,1.348
0.733,1.698,2.372
0.537,1.244,2.081
0.651,1.507,2.228
0.627,1.453,2.196
0.561,1.299,2.019
0.658,1.448,1.998
0.677,1.488,1.818
0.728,1.601,3.153
0.753,1.656,3.536
0.756,1.664,3.676
0.757,1.666,3.398
0.760,1.672,3.187
0.765,1.684,3.958
0.767,1.687,3.611
0.779,1.715,3.408
0.855,1.881,4.842
0.873,1.921,4.946
0.874,1.922,5.465
0.900,1.981,5.438
0.908,1.997,5.189
0.503,2.576,1.789
0.650,3.415,1.799
0.505,2.525,1.803
0.456,2.416,1.936
0.626,3.279,1.973
0.619,3.246,2.088
0.609,3.193,2.115
0.789,4.145,3.578
1.237,6.461,4.349
0.844,4.373,4.426
1.285,6.724,4.651
1.109,5.811,4.749
0.817,4.271,4.761
0.844,4.428,5.405
1.307,6.844,5.440
1.373,7.218,5.652
1.328,6.984,5.934
1.375,7.200,5.979
0.860,4.513,6.131
0.846,4.437,6.618
0.404,2.021,1.425
0.408,1.926,1.470
0.386,2.406,1.614
0.467,2.364,1.860
0.558,2.789,2.896
0.629,3.143,3.222
0.655,3.279,3.281
0.624,3.107,3.320
0.647,3.324,3.564
0.666,3.228,3.568
0.711,3.516,3.657
0.690,3.439,3.687
0.750,3.738,4.089
0.826,4.115,4.436
0.814,4.065,5.037
0.847,4.236,5.319
0.645,1.455,1.588
0.981,2.214,2.384
1.306,2.947,2.273
1.421,3.206,3.169
