Planar_x,Planar_y,Alternate_bar_x,Alternate_bar_y,No_transport_x,No_transport_y,Planar_bed_x,Planar_bed_y,armfield_x,armfield_y,Lochsa_f_x,Lochsa_f_y,Rivers_f_x,Rivers_f_y,Steep_alternate_bar_x,Steep_alternate_bar_y,Incipient_motion_x,Incipient_motion_y,xi,strickler,recking,keulegan
,,,,,,1.246953190786184,0.667281868022558,5.005459167609787,0.11627445540699573,7.537036854689557,5.482386380918136,5.711325268605034,0.09754874430573754,,,,,0.3253501055769621,0.2522181872552875,36.89699478129457,1.0811079455184835
,,,,,,5.15860356275536,0.09522273732605642,6.198772600941231,0.10200112775638885,7.726950993777883,4.680269018795078,10.694823044802607,0.0794625135093534,,,,,0.3487399538704174,0.24644848272786657,29.044877466492963,0.9556082875449198
,,,,,,4.292079093307288,0.09522273732605642,7.291061768001441,0.09662854868046301,8.857011143620374,1.918950778847914,9.827162614504047,0.10390660606814614,,,,,0.37381132921369725,0.24081076507536536,22.92426172951491,0.8507574839500704
,,,,,,5.864265900834308,0.09135559511575421,8.156000963129255,0.08881401778357109,8.669759398141672,1.8774109741161202,11.106040152591014,0.1339316875512082,,,,,0.4006851188046921,0.23530201498629774,18.14564037782386,0.7622621228362038
,,,,,,6.247526606291428,0.079446338687486,5.797398330545556,0.10463508583703975,9.468084381859981,1.1246105071796322,6.277311157430442,0.15938375937421023,,,,,0.4294909005814247,0.22991928221848368,14.408209839445624,0.6868893237929965
,,,,,,6.8125138308087445,0.07710037566620885,4.846822990926853,0.10463508583703975,17.534934077462456,0.13433369641096737,1.0986450274799766,0.40675890343136367,,,,,0.46036756801082174,0.2246596840190301,11.479514393405879,0.6221672327626819
,,,,,,7.347415716387829,0.07574233159706673,6.571427531447019,0.10051104646049065,18.339401914932772,0.13925873741339845,2.4499101565321446,0.3249740066037935,,,,,0.4934639997943761,0.21952040358045666,9.17978386730656,0.5661797458879649
,,,,,,7.781517942794424,0.07257016858224392,6.98998217707592,0.08777650727224166,14.541531872624521,0.19844667440230943,3.4866487164415845,0.4092163547426681,,,,,0.5289397777198327,0.2144986885321384,7.369879451840789,0.5174230435196491
,,,,,,8.155131086977985,0.06920167515187928,7.60585323935497,0.08526139563401745,10.529906405704986,0.5186918291410685,2.685739037987697,0.4527806323233935,,,,,0.5669659561201784,0.20959184946625828,5.942013716004569,0.4747035441716832
,,,,,,8.639922379545292,0.06894237621328067,8.187769267145795,0.08380448118191508,7.91642622666716,3.844569352529406,0.3571989324677123,1.7192134921638809,,,,,0.6077258866500546,0.2047972584974793,4.812604029381248,0.43706415481152017
,,,,,,9.124829656142396,0.06920167515187928,8.659250890398106,0.08039811284265536,7.346780735296198,6.096900229733338,0.7656423819542093,0.8810498345993313,,,,,0.6514161023564332,0.20011234785556634,3.9167669414590867,0.40373019301307084
,,,,,,9.498687585445976,0.06779352875134925,9.064513596948665,0.076776052239882,4.9400201097998595,0.9519894786360354,0.9389572426423625,0.6816723768175004,,,,,0.6982472653062998,0.19553460851020166,3.204075023084048,0.37406920489689544
,,,,,,7.872386045727719,0.07802606754064914,9.58970024121284,0.07649705073648125,7.726950993777883,2.16849179536138,0.5020510803798327,3.158233504979203,,,,,0.7484451823405425,0.1910615888272599,2.6352852203001027,0.347560743019025
