x, y
3.078997018714943223e+01,3.978571572396628203e-02
3.257799552434111945e+01,3.335713226753855842e-02
3.436395064197371596e+01,3.871692805437930429e-02
3.436395064197371596e+01,3.978571572396628203e-02
4.072723295744162186e+01,3.657631591482671252e-02
4.250508654201186687e+01,3.764715952934450521e-02
4.402769970459532800e+01,4.085350229173251996e-02
4.402769970459532800e+01,4.192031040415011151e-02
4.934844248603810257e+01,3.764713105871739240e-02
5.162503502366129737e+01,3.871692805437930429e-02
5.187783145452595335e+01,3.443133851287350639e-02
5.718132011719182373e+01,3.657631591482671252e-02
1.665666984076451840e+01,5.465539619491761869e-02
1.761582165345832252e+01,5.148230130180025260e-02
2.220551780096427663e+01,5.676726631324290062e-02
2.411177977679346895e+01,4.298619663434441462e-02
2.601489010639178545e+01,5.148230130180025260e-02
2.620503372350937710e+01,4.192034210636724767e-02
2.772519064340338701e+01,4.724086707710938721e-02
2.943328413569528479e+01,4.298619663434441462e-02
3.151815035321330072e+01,4.511527041733272292e-02
3.227554853719527017e+01,4.405120887989699696e-02
3.284336388246364180e+01,4.724086707710938721e-02
3.397836999438219863e+01,4.617846832210529412e-02
3.549049001483240318e+01,4.298619663434441462e-02
3.851075168821660100e+01,4.405117556621394176e-02
1.160606346626546781e+01,6.203529196900500059e-02
1.235347863285264935e+01,6.098295765678837799e-02
1.295072352411706973e+01,5.993000302429291742e-02
1.622593806196431743e+01,5.148230130180025260e-02
1.711665529776667682e+01,4.936315206292168217e-02
1.903762302868601353e+01,5.148230130180025260e-02
1.815459400415403479e+01,5.148230130180025260e-02
1.948728193383394114e+01,5.782216987013235471e-02
2.170425607505048760e+01,5.571167638090113172e-02
2.332699106085079777e+01,4.936313339750070944e-02
2.362177568682791673e+01,4.617846832210529412e-02
2.553604482572491818e+01,4.830240504509138166e-02
2.612443488779842582e+01,3.978573076792883689e-02
2.818165805991299777e+01,5.042310727421146083e-02
1.056674114044678880e+01,7.043256828842345274e-02
1.098475874136791752e+01,7.252634293127298293e-02
1.161116546032509156e+01,5.148230130180025260e-02
1.265362340029020416e+01,6.623853025979452303e-02
1.296600478327900419e+01,5.676726631324290062e-02
1.421398967590604911e+01,6.203529196900500059e-02
1.504469086538103539e+01,5.465539619491761869e-02
1.525221451391280247e+01,6.098295765678837799e-02
1.608172839177172264e+01,5.676726631324290062e-02
1.691034784552072878e+01,5.359842607088104172e-02
1.711736473846444540e+01,5.465539619491761869e-02
1.804830996906419927e+01,5.887641417921087722e-02
1.846174393256352531e+01,5.571167638090113172e-02
1.856506786417676480e+01,5.465539619491761869e-02
7.802332104717272010e+00,8.400629459309062741e-02
7.424936454069360536e+00,8.400629459309062741e-02
8.181732694874103373e+00,8.504714407812047350e-02
8.710609065785844152e+00,7.775171607143610553e-02
9.389612470987122705e+00,7.879529583506338086e-02
9.389612470987122705e+00,7.566302484358619629e-02
9.841707426307012341e+00,6.938484177168094402e-02
1.014285959840314177e+01,6.728780877124861115e-02
1.081977959022087177e+01,7.566299623353703319e-02
1.097008507610412664e+01,7.147962659935130914e-02
1.112034658332566650e+01,7.357233330853095443e-02
1.179600827092902371e+01,6.518850516441160314e-02
1.209603846775764424e+01,7.043243512709891629e-02
1.284544031778419360e+01,6.098284236110036033e-02
5.636650703397505069e+00,1.230886263416176157e-01
7.559431905266008833e+00,1.075218076999741867e-01
8.167917473787065674e+00,1.024731845016383924e-01
9.643992194637501569e+00,9.215630835044284763e-02
1.128790771631262047e+01,8.519500825664842736e-02
1.275473103159631449e+01,8.075446459563576096e-02
1.378754956095024831e+01,6.993675062753290650e-02
1.447553830611061088e+01,7.595044238245153567e-02
1.533430783667860453e+01,7.021624748533787652e-02
1.679225051944209923e+01,7.001467396940672105e-02
1.781934818246251240e+01,6.523044724766159652e-02
1.893055158840774510e+01,6.272780497970080471e-02
2.021190593504060118e+01,6.275549107813351013e-02
2.166178183130877244e+01,6.471988746490955902e-02
2.251351304962772204e+01,6.099142095550386111e-02
2.421497336381313303e+01,6.566674807552921878e-02
2.506475421104788381e+01,6.265621469716810277e-02
4.582963854690684791e+00,1.572782257890650015e-01
5.812741554706920333e+00,1.349434568781160415e-01
6.424431797199577687e+00,1.317494528464611125e-01
7.907256262087059895e+00,1.094195021417691260e-01
9.297636809605476671e+00,8.994776067793681940e-02
1.042341724973327644e+01,8.936942634821283538e-02
1.197870346053823454e+01,8.477753805483041749e-02
1.249652203461687705e+01,7.747464702470016618e-02
1.370162816592560162e+01,7.778150381420705084e-02
1.490558085677511535e+01,7.881138647724453272e-02
1.533430783667860453e+01,7.328856654161719497e-02
1.653447999880823360e+01,7.100271726621605606e-02
1.730542857826970504e+01,7.037958996590909511e-02
3.417150485059990306e+00,1.855243494933188630e-01
3.240142455635639962e+00,2.052489618467833732e-01
3.768423353958472610e+00,1.601273976992597659e-01
4.645907894902984836e+00,1.539081326871100663e-01
5.344713747644433077e+00,1.425373602300004927e-01
5.475586806602103174e+00,1.241465979140771170e-01
5.780344989777105980e+00,1.207516076418946593e-01
6.241172635600219287e+00,1.177705855745129204e-01
7.084389521634900433e+00,1.199536680536095606e-01
7.517547755688903877e+00,1.051202863861369491e-01
7.863269146987824421e+00,9.656484804935963617e-02
8.122885000277115353e+00,1.014914414587915897e-01
8.641603605151919609e+00,9.630241728269178791e-02
8.815076888887265483e+00,8.965919511817305176e-02
9.331866231994069949e+00,9.206947678029900328e-02
9.590570276050202736e+00,9.105268833468979639e-02
1.027938391870184631e+01,9.088201048583668951e-02
1.053757033864429715e+01,8.447265348913465810e-02
1.096829822298979096e+01,8.540969690435709638e-02
1.113984948467393465e+01,8.435675460078818910e-02
1.139760579293199605e+01,7.838591474950974691e-02
1.199786065991797912e+01,8.033490464565271050e-02
